fuente,nombre,voltaje_kv,latitud,longitud,propietario,departamento,municipio,estado,attrs_json
Subestaciones_69_kV_,Taxisco,69,13.923703333000052,-90.58490197499998,,,,,"{""FID"": 82, ""Name"": ""Taxisco"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Iztapa,69,13.939034109000033,-90.72303206499998,,,,,"{""FID"": 83, ""Name"": ""Iztapa"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Portuaria,69,13.931956702000017,-90.78428624399999,,,,,"{""FID"": 84, ""Name"": ""Portuaria"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Puerto Quetzal,69,13.931421729000022,-90.79380818999994,,,,,"{""FID"": 85, ""Name"": ""Puerto Quetzal"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Terminal de Contenedores Quetzal,69,13.931095680000062,-90.79375192499998,,,,,"{""FID"": 86, ""Name"": ""Terminal de Contenedores Quetzal"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Duke,69,13.930710614000084,-90.79733301199997,,,,,"{""FID"": 87, ""Name"": ""Duke"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Puerto San Jose,69,13.929938307000047,-90.81895119299998,,,,,"{""FID"": 88, ""Name"": ""Puerto San Jose"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Palin TRELEC,69,14.392378987000017,-90.71193174299998,,,,,"{""FID"": 89, ""Name"": ""Palin TRELEC"", ""V__kV_"": 69}"
Subestaciones_69_kV_,El Salto,69,14.327750189000017,-90.75339852399998,,,,,"{""FID"": 90, ""Name"": ""El Salto"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Santa Maria Marquez,69,14.314903663000043,-90.77727841299996,,,,,"{""FID"": 91, ""Name"": ""Santa Maria Marquez"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Concepcion,69,14.331097420000056,-90.78866769899997,,,,,"{""FID"": 92, ""Name"": ""Concepcion"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Palmeras,69,14.311382402000046,-90.79358268399993,,,,,"{""FID"": 93, ""Name"": ""Palmeras"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Cerveceria del Sur,69,14.306337158000078,-90.79254209899995,,,,,"{""FID"": 94, ""Name"": ""Cerveceria del Sur"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Almarsa,69,14.306147164000029,-90.79251615599998,,,,,"{""FID"": 95, ""Name"": ""Almarsa"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Cruz de Santiago,69,14.727513717000024,-90.989844588,,,,,"{""FID"": 96, ""Name"": ""Cruz de Santiago"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Patzun,69,14.650066872000016,-91.02602062899996,,,,,"{""FID"": 97, ""Name"": ""Patzun"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Toliman,69,14.668022341000034,-91.10787451899996,,,,,"{""FID"": 98, ""Name"": ""Toliman"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Chimaltenango,69,14.658811389000054,-90.80806971999993,,,,,"{""FID"": 99, ""Name"": ""Chimaltenango"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Chacara,69,14.560175725000025,-90.71172511099995,,,,,"{""FID"": 100, ""Name"": ""Chacara"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Antigua,69,14.554016786000034,-90.72739266799992,,,,,"{""FID"": 101, ""Name"": ""Antigua"", ""V__kV_"": 69}"
Subestaciones_69_kV_,San Gaspar,69,14.533215485000024,-90.72956489199998,,,,,"{""FID"": 102, ""Name"": ""San Gaspar"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Naciones Unidas,69,14.513098339000056,-90.62214280999994,,,,,"{""FID"": 103, ""Name"": ""Naciones Unidas"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Laguna,69,14.461970357000045,-90.58174858499996,,,,,"{""FID"": 104, ""Name"": ""Laguna"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Amatitlan,69,14.486084822000059,-90.61522117599996,,,,,"{""FID"": 105, ""Name"": ""Amatitlan"", ""V__kV_"": 69}"
Subestaciones_69_kV_,El Sauce,69,14.440472447000042,-90.64810140599995,,,,,"{""FID"": 106, ""Name"": ""El Sauce"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Progreso,69,14.350713866000035,-89.85315646899994,,,,,"{""FID"": 107, ""Name"": ""Progreso"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Barberena,69,14.323685640000058,-90.39088933699998,,,,,"{""FID"": 108, ""Name"": ""Barberena"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Los Esclavos,69,14.250922107000067,-90.29102744099998,,,,,"{""FID"": 109, ""Name"": ""Los Esclavos"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Quesada,69,14.257933333000027,-90.02273611099997,,,,,"{""FID"": 110, ""Name"": ""Quesada"", ""V__kV_"": 69}"
Subestaciones_69_kV_,El Jicaro,69,14.16216707100006,-89.78413172199998,,,,,"{""FID"": 111, ""Name"": ""El Jicaro"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Asunción Mita,69,14.316922459000061,-89.71415796199994,,,,,"{""FID"": 112, ""Name"": ""Asunción Mita"", ""V__kV_"": 69}"
Subestaciones_69_kV_,La Vega I,69,14.34826823100008,-90.45703506299998,,,,,"{""FID"": 113, ""Name"": ""La Vega I"", ""V__kV_"": 69}"
Subestaciones_69_kV_,La Pastoria,69,14.273793816000019,-90.43800215299996,,,,,"{""FID"": 114, ""Name"": ""La Pastoria"", ""V__kV_"": 69}"
Subestaciones_69_kV_,La Vega II,69,14.35349816800004,-90.41775104199996,,,,,"{""FID"": 115, ""Name"": ""La Vega II"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Esquipulas,69,14.590146240000013,-89.35838564199997,,,,,"{""FID"": 116, ""Name"": ""Esquipulas"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Quetzaltepeque,69,14.614678494000032,-89.45208034599995,,,,,"{""FID"": 117, ""Name"": ""Quetzaltepeque"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Panaluya,69,15.037591871000075,-89.59188759299997,,,,,"{""FID"": 118, ""Name"": ""Panaluya"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Cabañas,69,14.908183333000073,-89.91292222199996,,,,,"{""FID"": 119, ""Name"": ""Cabañas"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Usumatlán,69,14.958670000000044,-89.79897999999996,,,,,"{""FID"": 120, ""Name"": ""Usumatlán"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Teculutan II,69,14.997608796000069,-89.70654612099997,,,,,"{""FID"": 121, ""Name"": ""Teculutan II"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Industrias del Atlantico,69,14.996809000000036,-89.70635399999999,,,,,"{""FID"": 122, ""Name"": ""Industrias del Atlantico"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Santa Cruz,69,15.012689987000037,-89.68300903399994,,,,,"{""FID"": 123, ""Name"": ""Santa Cruz"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Teculutan,69,15.012616047000044,-89.68302674799997,,,,,"{""FID"": 124, ""Name"": ""Teculutan"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Painsa,69,15.021797222000034,-89.65475833299996,,,,,"{""FID"": 125, ""Name"": ""Painsa"", ""V__kV_"": 69}"
Subestaciones_69_kV_,Mayuelas,69,15.124415637000018,-89.38179756299996,,,,,"{""FID"": 126, ""Name"": ""Mayuelas"", ""V__kV_"": 69}"
